Thermocouple 0 (deg C)	Thermocouple 1 (deg C)	Thermocouple 2 (deg C)	Thermocouple 3 (deg C)
57.324	67.641	72.204	75.391
61.230	66.155	71.292	75.391
58.359	65.125	72.318	78.686
57.439	67.069	70.152	78.119
59.852	67.869	71.634	76.301
58.704	67.069	71.064	77.551
60.197	64.095	73.912	78.800
58.129	65.697	72.774	79.821
61.000	66.498	72.432	79.708
60.656	65.011	72.204	76.869
60.082	66.955	70.836	78.005
59.852	67.983	72.774	79.027
60.541	65.811	73.343	79.027
62.147	64.782	72.660	79.708
60.426	67.983	72.204	77.892
59.852	67.983	74.140	76.642
59.048	64.896	73.229	80.048
60.771	64.324	72.888	76.074
60.426	66.498	72.090	76.187
62.491	64.782	72.774	76.187
58.819	67.183	71.634	77.437
61.000	66.040	72.090	77.097
61.230	65.011	72.546	78.346
61.803	66.269	70.380	77.664
59.967	65.011	74.026	79.367
62.262	67.298	73.343	78.459
61.574	67.755	74.709	78.346
59.967	65.011	74.481	79.935
60.426	65.011	74.368	79.708
58.704	66.498	74.709	76.756
59.278	65.583	71.178	79.027
59.048	67.412	73.229	79.481
61.803	68.783	73.685	77.778
62.262	66.498	75.164	79.935
59.623	65.583	72.546	77.437
61.344	65.697	75.050	77.437
60.541	66.269	71.406	77.551
59.048	68.326	74.254	80.615
58.934	66.955	72.888	80.275
61.000	67.183	74.368	77.892
61.459	65.468	75.164	80.729
62.835	65.354	73.229	79.708
62.376	68.554	72.318	80.955
62.606	66.155	73.685	77.210
61.459	68.783	74.368	77.097
62.491	67.755	75.278	80.842
62.720	66.726	73.115	79.254
59.508	68.326	71.406	80.502
62.720	66.383	72.090	77.437
62.376	65.583	73.002	80.275
62.949	67.412	75.846	80.048
60.771	67.641	75.391	77.664
59.967	66.269	72.204	81.409
60.885	67.298	75.164	77.551
63.179	66.726	75.619	78.573
60.885	66.726	72.660	81.182
63.522	69.696	75.505	80.162
59.967	66.612	72.546	79.140
61.803	66.726	75.733	80.275
62.262	69.924	74.140	80.842
64.324	70.266	75.733	81.295
60.541	67.641	73.229	78.459
64.209	69.353	75.164	77.892
62.835	69.696	75.278	81.409
60.541	69.353	73.685	80.729
64.095	70.152	72.318	81.295
62.147	66.269	73.229	79.708
60.885	70.266	74.368	79.027
63.522	70.266	73.229	78.119
63.637	67.412	74.709	81.522
64.095	67.869	74.709	82.429
64.209	69.239	73.343	81.635
62.032	68.097	72.546	80.615
62.147	67.069	73.912	82.089
61.344	70.722	73.002	81.975
64.438	68.554	73.571	81.069
63.064	69.468	74.481	78.346
64.438	67.298	73.799	79.594
63.637	69.239	76.869	81.069
64.209	68.668	76.301	81.635
61.344	69.125	72.888	78.459
64.095	68.326	76.756	80.502
64.209	67.183	75.619	78.686
63.866	71.178	75.050	81.635
62.147	70.608	75.733	81.295
62.147	70.722	74.937	81.975
62.606	67.183	75.050	81.409
62.835	68.783	73.229	80.048
63.751	71.064	74.937	82.882
62.835	69.582	73.229	83.108
65.011	69.239	76.301	80.388
63.866	69.468	75.619	79.140
62.949	68.326	77.324	82.768
65.583	70.038	75.846	79.367
63.179	68.783	75.505	79.367
65.239	68.783	76.869	83.108
64.095	68.440	74.709	81.522
65.354	68.668	74.823	82.315
65.354	68.668	74.368	81.182
65.468	70.152	73.685	83.561
61.918	70.380	74.709	80.048
62.147	68.783	75.846	83.561
61.918	68.097	75.164	80.615
64.095	70.038	75.505	83.448
64.438	69.125	75.846	81.182
66.040	70.380	77.437	82.995
65.468	70.608	77.664	80.955
66.040	69.125	78.005	82.655
62.606	71.406	75.960	80.388
62.147	68.326	75.960	83.448
62.720	68.212	74.937	83.221
65.697	71.634	76.983	81.069
65.583	72.318	77.778	80.842
64.438	68.326	74.481	79.935
63.866	71.406	75.960	80.615
63.637	69.125	77.437	80.502
62.606	70.722	75.846	83.448
63.064	72.432	74.937	80.048
63.179	72.090	75.391	82.542
63.980	70.950	77.324	83.901
66.612	72.774	74.937	80.729
65.011	72.090	78.346	80.388
66.498	72.318	76.187	82.542
65.583	70.722	75.733	84.353
67.069	71.976	77.210	81.409
63.293	69.696	77.324	82.429
64.324	69.810	76.756	83.335
66.955	71.862	79.027	81.409
65.125	69.924	78.686	82.542
64.324	71.292	77.324	81.862
64.438	69.696	76.074	81.409
67.069	72.318	78.459	83.335
66.040	70.266	78.232	80.842
66.269	72.888	76.415	80.842
65.239	69.239	78.686	83.335
65.583	71.862	77.551	84.127
66.040	72.318	78.459	84.467
63.980	71.178	78.573	80.842
65.239	69.468	77.437	81.975
63.637	70.494	79.481	82.995
66.155	69.696	76.869	85.032
67.183	70.950	76.415	82.202
63.751	73.912	76.074	81.295
64.553	70.836	78.800	83.787
63.980	70.722	76.074	81.975
66.155	70.380	78.232	81.522
65.697	73.002	76.983	81.409
64.896	72.774	79.367	83.674
67.526	70.152	79.027	85.598
66.612	72.546	78.232	83.787
64.667	74.140	76.642	81.409
64.896	71.064	77.551	84.806
65.125	73.912	77.437	84.580
64.896	70.152	78.459	82.882
65.583	73.002	80.162	82.429
67.983	71.634	80.048	84.353
65.011	71.292	77.437	83.787
65.468	71.064	76.415	81.975
67.298	73.912	78.913	85.145
64.209	72.432	78.686	85.711
65.583	72.888	79.367	85.485
68.326	73.912	78.800	82.995
67.869	71.064	78.573	84.806
66.155	74.709	76.642	83.561
64.553	73.457	77.324	82.542
65.468	71.292	80.048	85.145
64.782	72.660	76.528	86.050
